"","X2","X3"
"ENSG00000139865",0.839541943952471,1.0220264779205e-09
"ENSG00000127774",0.7817802168011,7.81170525001033e-08
"ENSG00000124207",0.780080213903743,8.69795273741213e-08
"ENSG00000166788",0.774732620320856,1.21228174830195e-07
"ENSG00000198211",0.769061583577713,2.7129604764881e-07
"ENSG00000164163",0.755369852410556,3.75657297342295e-07
"ENSG00000137845",0.751336898395722,4.69331244701988e-07
"ENSG00000068097",0.748663101604278,5.42735023855302e-07
"ENSG00000121481",0.748328877005348,5.52613741176847e-07
"ENSG00000122482",0.744318181818182,6.84693804426899e-07
"ENSG00000166181",0.739199467776795,8.95049482660189e-07
"ENSG00000076382",0.736965240641711,1.00415222958264e-06
"ENSG00000249034",0.734464074271575,1.14060361574873e-06
"ENSG00000213973",0.733986126366893,1.16852837251222e-06
"ENSG00000177462",0.731977414104945,1.29284575929368e-06
"ENSG00000151233",0.731283422459893,1.33852542700329e-06
"ENSG00000196950",0.727606951871658,1.60604177058937e-06
"ENSG00000010244",0.720254010695187,2.29246965209967e-06
"ENSG00000179528",0.718248663101604,2.52127091591514e-06
"ENSG00000204611",0.717245989304813,2.64330199469378e-06
"ENSG00000081842",0.710561497326203,3.60427288765015e-06
"ENSG00000184697",0.710044625966619,3.69042289010379e-06
"ENSG00000165304",0.704211229946524,4.80127718830142e-06
"ENSG00000187867",0.701871657754011,5.3263930485678e-06
"ENSG00000144395",0.700200534759358,5.73285322068256e-06
"ENSG00000140525",0.698195187165775,6.25768720466546e-06
"ENSG00000129534",0.695855614973262,6.92489893680747e-06
"ENSG00000087302",0.69418449197861,7.44032342393328e-06
"ENSG00000177058",0.69418449197861,7.44032342393328e-06
"ENSG00000239389",0.693516042780749,7.65606184710162e-06
"ENSG00000131747",0.693464826667715,7.67282339532604e-06
"ENSG00000156970",0.692179144385027,8.10465387373532e-06
"ENSG00000138193",0.691510695187166,8.3377749590317e-06
"ENSG00000173262",0.685107815018309,1.08992929891774e-05
"ENSG00000138346",0.684826203208556,1.10267928329563e-05
"ENSG00000107854",0.682820855614973,1.19745074810329e-05
"ENSG00000171291",0.680147058823529,1.33528371113045e-05
"ENSG00000188155",0.678476384018517,1.42854043391222e-05
